Marketing Sub Type,Platform,Platform Rating
Influencer Marketing,Athlete Celebs/Brand Ambassador,4.5
Social Media Marketing,Athlete & Energetic Social Media Influencers,5
Content Marketing,Athlete & Energetic Social Media Influencers,5
Event Marketing,Sunburn Festival,5
Event Marketing,Red Bull BC One India,5
Event Marketing,X Games India,5
Event Marketing,NH7 Weekender,4
Event Marketing,Indian Premier League (IPL),4
Event Marketing,IPL Matches,4
Event Marketing,Dance India Dance,4
Event Marketing,Pro Kabaddi League,4
Event Marketing,Bacardi NH7 Weekender,4
Event Marketing,Magnetic Fields Festival,4
Event Marketing,Khatron Ke Khiladi,4
Event Marketing,Dance+,4
Event Marketing,Roadies,4
Search Engine Marketing,Google Ads,3
Email Marketing,Newsletter ,3
Online Advertising,Athlete Celebs/Brand Ambassador as ads,4
Search Engine Optimization,Website,3.5
Outdoor Advertising,,
Event Marketing,Indian Super League,3
Event Marketing,Comic Con India,3
Event Marketing,Hornbill Festival,3
Affiliate Marketing,,
Print Media,News Paper by Athlete Celebs/Brand Ambassador,2
Broadcast Media,TV Commercials by Athlete Celebs/Brand Ambassador,2.5
Telemarketing,,
Guerrilla Marketing,,
